País,Divisa,Código,Número,Código teléfono
AFGANISTÁN,Afgani afgano,AFN,971,93
ISLAS ÅLAND,Euro,EUR,978,358
ALBANIA,Lek,ALL,8,355
ALGERIA,Dinar argelino,DZD,12,213
SAMOA AMERICANA,Dólar estadounidense,USD,840,1684
ANDORRA,Euro,EUR,978,376
ANGOLA,Kwanza angoleño,AOA,973,244
ANGUILLA,Dólar del Caribe Oriental,XCD,951,1264
ANTÁRTICA,Sin divisa universal,,,672
ANTIGUA Y BARBUDA,Dólar del Caribe Oriental,XCD,951,1268
ARGENTINA,Peso argentino,ARS,32,54
ARMENIA,Dram armenio,AMD,51,374
ARUBA,Florín arubeño,AWG,533,297
AUSTRALIA,Dólar australiano,AUD,36,61
AUSTRIA,Euro,EUR,978,43
AZERBAIYÁN,Manat azerbaiyano,AZN,944,994
BAHAMAS (LAS),Dólar bahameño,BSD,44,1242
BARÉIN,Dinar bareiní,BHD,48,973
BANGLADESH,Taka,BDT,50,880
BARBADOS,Dólar de Barbados,BBD,52,1246
BIELORRUSIA,Rublo bielorruso,BYR,974,375
BÉLGICA,Euro,EUR,978,32
BELICE,Dólar beliceño,BZD,84,501
BENÍN,Franco CFA de África Occidental,XOF,952,229
BERMUDA,Dólar bermudeño,BMD,60,1441
BUTÁN,Ngultrum butanés,BTN,64,975
BUTÁN,Rupia india,INR,356,975
BOLIVIA (ESTADO PLURINACIONAL DE),Boliviano,BOB,68,591
BOLIVIA (ESTADO PLURINACIONAL DE),Mvdol,BOV,984,591
"BONAIRE, SAN EUSTAQUIO Y SABA",Dólar estadounidense,USD,840,599
BOSNIA Y HERZEGOVINA,Marco bosnioherzegovino,BAM,977,387
BOTSUANA,Pula,BWP,72,267
ISLA BOUVET,Corona noruega,NOK,578,47
BRASIL,Real brasileño,BRL,986,55
TERRITORIO BRITÁNICO DEL OCÉANO ÍNDICO,Dólar estadounidense,USD,840,246
BRUNÉI DARUSSALAM,Dólar de Brunei,BND,96,673
BULGARIA,Lev,BGN,975,359
BURKINA FASO,Franco CFA de África Occidental,XOF,952,226
BURUNDI,Franco burundés,BIF,108,257
CABO VERDE,Escudo caboverdiano,CVE,132,238
CAMBOYA,Riel camboyano,KHR,116,855
CAMERÚN,Franco CFA de África Central,XAF,950,237
CANADÁ,Dólar canadiense,CAD,124,1
ISLAS CAIMÁN (LAS),Dólar de las Islas Cayman,KYD,136,1345
REPÚBLICA CENTROAFRICANA (LA),Franco CFA de África Central,XAF,950,236
CHAD,Franco CFA de África Central,XAF,950,235
CHILE,Unidad de Fomento,CLF,990,56
CHILE,Peso chileno,CLP,152,56
CHINA,Renminbi,CNY,156,86
ISLA DE NAVIDAD,Dólar australiano,AUD,36,61
ISLAS COCOS (KEELING),Dólar australiano,AUD,36,61
COLOMBIA,Peso colombiano,COP,170,57
COLOMBIA,Unidad de valor real,COU,970,57
COMORAS,Franco comorense,KMF,174,269
CONGO (REPÚBLICA DEMOCRÁTIC DEL),Franco congoleño,CDF,976,243
CONGO (EL),Franco CFA de África Central,XAF,950,242
ISLAS COOK (LAS),Dólar de la Islas Cook,NZD,554,682
COSTA RICA,Colón costarricense,CRC,188,506
COSTA DE MARFIL,Franco CFA de África Occidental,XOF,952,225
CROACIA,Kuna,HRK,191,385
CUBA,Peso convertible,CUC,931,53
CUBA,Peso cubano,CUP,192,53
CURAZAO,Florín antillano neerlandés,ANG,532,5999
CHIPRE,Euro,EUR,978,357
REPÚBLICA CHECA,Czech Koruna,CZK,203,420
DINAMARCA,Corona danesa,DKK,208,45
YIBUTI,Franco yibutiano,DJF,262,253
DOMINICA,Dólar del Caribe Oriental,XCD,951,1767
REPÚBLICA DOMINICANA,Peso dominicano,DOP,214,1809
ECUADOR,Dólar estadounidense,USD,840,593
EGIPTO,Libra egipcia,EGP,818,20
EL SALVADOR,Colón,SVC,222,503
EL SALVADOR,Dólar estadounidense,USD,840,503
GUINEA ECUATORIAL,Franco CFA de África Central,XAF,950,240
ERITREA,Nakfa,ERN,232,291
ESTONIA,Euro,EUR,978,372
ETIOPÍA,Birr etíope,ETB,230,251
ISLAS MALVINAS,Libra malvinense,FKP,238,500
ISLAS FAROE,Corona danesa,DKK,208,298
FIJI,Dólar fiyiano,FJD,242,679
FINLANDIA,Euro,EUR,978,358
FRANCIA,Euro,EUR,978,33
GUYANA FRANCESA,Euro,EUR,978,594
POLINESIA FRANCESA,Franco CFP,XPF,953,689
GABÓN,Franco CFA de África Central,XAF,950,241
GAMBIA,Dalasi,GMD,270,220
GEORGIA,Lari,GEL,981,995
ALEMANIA,Euro,EUR,978,49
GHANA,Cedi,GHS,936,233
GIBRALTAR,Libra gibraltareña,GIP,292,350
GRECIA,Euro,EUR,978,30
GROENLANDIA,Corona danesa,DKK,208,299
GRANADA,Dólar del Caribe Oriental,XCD,951,1473
GUADALUPE,Euro,EUR,978,590
GUAM,Dólar estadounidense,USD,840,1671
GUATEMALA,Quetzal,GTQ,320,502
GUERNSEY,Libra esterlina,GBP,826,44
GUINEA,Franco guineano,GNF,324,224
GUINEA-BISSAU,Franco CFA de África Occidental,XOF,952,245
GUYANA,Dólar guyanés,GYD,328,592
HAITÍ,Gourde,HTG,332,509
HAITÍ,Dólar estadounidense,USD,840,509
SANTA SEDE,Euro,EUR,978,379
HONDURAS,Lempira,HNL,340,504
HONG KONG,Dólar de Hong Kong,HKD,344,852
HUNGRÍA,Forinto húngaro,HUF,348,36
ISLANDIA,Corona islandesa,ISK,352,354
INDIA,Rupia india,INR,356,91
INDONESIA,Rupia indonesia,IDR,360,62
REPÚBLICA ISLAMICA DE IRÁN,Rial iraní,IRR,364,98
IRAK,Dinar iraquí,IQD,368,964
IRLANDA,Euro,EUR,978,353
ISLA DE MAN,Libra esterlina,GBP,826,44
ISRAEL,Nuevo séquel,ILS,376,972
ITALIA,Euro,EUR,978,39
JAMAICA,Dólar jamaiquino,JMD,388,1876
JAPÓN,Yen,JPY,392,81
JERSEY,Libra esterlina,GBP,826,44
JORDANIA,Dinar jordano,JOD,400,962
KAZAJISTÁN,Tenge kazajo,KZT,398,7
KENIA,Chelín keniano,KES,404,254
KIRIBATI,Dólar australiano,AUD,36,686
REPÚBLICA DEMOCRATICA DE COREA DEL NORTE,Won norcoreano,KPW,408,850
REPÚBLICA DE COREA DEL SUR,Won,KRW,410,82
KUWAIT,Dinar kuwaití,KWD,414,965
KIRGUISTÁN,Som,KGS,417,996
REPUBLICA DEMOCRÁTICA POPULAR LAO,Kip laosiano,LAK,418,856
LETONIA,Euro,EUR,978,371
LÍBANO,Libra libanesa,LBP,422,961
LESOTO,Loti,LSL,426,266
LESOTO,Rand,ZAR,710,266
LIBERIA,Dólar liberiano,LRD,430,231
LIBIA,Dinar libio,LYD,434,218
LIECHTENSTEIN,Franco suizo,CHF,756,423
LITUANIA,Euro,EUR,978,370
LUXEMBURGO,Euro,EUR,978,352
MACAO,Pataca,MOP,446,853
MACEDONIA,Dinar,MKD,807,389
MADAGASCAR,Ariary malgache,MGA,969,261
MALAWI,Kwacha malauí,MWK,454,265
MALASIA,Ringgit malayo,MYR,458,60
MALDIVAS,Rupia de maldivas,MVR,462,960
MALÍ,Franco CFA de África Occidental,XOF,952,223
MALTA,Euro,EUR,978,356
ISLAS MARSHALL,Dólar estadounidense,USD,840,692
MARTINICA,Euro,EUR,978,596
MAURITANIA,Uguiya,MRO,478,222
MAURICIO,Rupia de Mauricio,MUR,480,230
MAYOTTE,Euro,EUR,978,262
MÉXICO,Peso mexicano,MXN,484,52
MÉXICO,Unidad de Inversion Mexicana(UDI),MXV,979,52
MICRONESIA,Dólar estadounidense,USD,840,691
REPÚBLICA DE MOLDAVIA,Leu Moldavo,MDL,498,373
MÓNACO,Euro,EUR,978,377
MONGOLIA,Tugrik,MNT,496,976
MONTENEGRO,Euro,EUR,978,382
MONTSERRAT,Dólar del Caribe oriental,XCD,951,1664
MARRUECOS,Dírham marroquí,MAD,504,212
MOZAMBIQUE,Metical mozambiqueño,MZN,943,258
BIRMANIA,Kyat birmano,MMK,104,95
NAMIBIA,Dólar de Namibia,NAD,516,264
NAMIBIA,Rand,ZAR,710,264
NAURU,Dólar australiano,AUD,36,674
NEPAL,Rupia nepalí,NPR,524,977
HOLANDA,Euro,EUR,978,31
NUEVA CALEDONIA,Franco CFP,XPF,953,687
NUEVA ZELANDA,Dólar neozelandés,NZD,554,64
NICARAGUA,Córdoba oro,NIO,558,505
NIGERIA,Franco CFA de África Occidental,XOF,952,234
NIGERIA,Naira,NGN,566,234
NIUE,Dólar neozelandés,NZD,554,683
ISLA NORFOLK,Dólar australiano,AUD,36,672
ISLAS MARIANS DEL NORTE,Dólar estadounidense,USD,840,1
NORUEGA,Corona noruega,NOK,578,47
OMÁN,Rial omaní,OMR,512,968
PAKISTÁN,Rupia pakistaní,PKR,586,92
PALAU,Dólar estadounidense,USD,840,680
ESTADO DE PALESTINA,Sin divisa universal,,,970
PANAMÁ,Balboa,PAB,590,507
PANAMÁ,Dólar estadounidense,USD,840,507
PAPÚA NUEVA GUINEA,Kina,PGK,598,675
PARAGUAY,Guaraní,PYG,600,595
PERU,Nuevo Sol,PEN,604,51
FILIPINAS,Peso filipino,PHP,608,63
PITCAIRN,Dólar neozelandés,NZD,554,870
